"cod","descricao","sigla","tipo","porte","latitude","longitude","coduf","uf","tipotribunal_oj"
"TRE-PE","Tribunal Regional Eleitoral de Pernambuco","TRE-PE","Eleitoral","Médio",-8.38,-37.86,26,"PE","TRIBL"
"TRE-PI","Tribunal Regional Eleitoral do Piauí","TRE-PI","Eleitoral","Médio",-6.6,-42.28,22,"PI","TRIBL"
"TRE-PR","Tribunal Regional Eleitoral do Paraná","TRE-PR","Eleitoral","Grande",-24.89,-51.55,41,"PR","TRIBL"
"TRE-RJ","Tribunal Regional Eleitoral do Rio de Janeiro","TRE-RJ","Eleitoral","Grande",-22.25,-42.66,33,"RJ","TRIBL"
"TRE-RN","Tribunal Regional Eleitoral do Rio Grande do Norte","TRE-RN","Eleitoral","Médio",-5.81,-36.59,24,"RN","TRIBL"
"TRE-RO","Tribunal Regional Eleitoral de Rondônia","TRE-RO","Eleitoral","Pequeno",-10.83,-63.34,11,"RO","TRIBL"
"TRE-RR","Tribunal Regional Eleitoral de Roraima","TRE-RR","Eleitoral","Pequeno",1.99,-61.33,14,"RR","TRIBL"
"TRE-RS","Tribunal Regional Eleitoral do Rio Grande do Sul","TRE-RS","Eleitoral","Grande",-30.17,-53.5,43,"RS","TRIBL"
"TRE-SC","Tribunal Regional Eleitoral de Santa Catarina","TRE-SC","Eleitoral","Médio",-27.45,-50.95,42,"SC","TRIBL"
"TRE-SE","Tribunal Regional Eleitoral de Sergipe","TRE-SE","Eleitoral","Pequeno",-10.57,-37.45,28,"SE","TRIBL"
"TRE-SP","Tribunal Regional Eleitoral de São Paulo","TRE-SP","Eleitoral","Grande",-22.19,-48.79,35,"SP","TRIBL"
"TRE-TO","Tribunal Regional Eleitoral de Tocantins","TRE-TO","Eleitoral","Pequeno",-9.46,-48.26,17,"TO","TRIBL"
"TRF1","Tribunal Regional Federal da 1ª Região","TRF1","Federal","ND",-15.83,-47.86,53,"DF","TRIBF"
"TRF2","Tribunal Regional Federal da 2ª Região","TRF2","Federal","ND",-22.25,-42.66,33,"RJ","TRIBF"
"TRF3","Tribunal Regional Federal da 3ª Região","TRF3","Federal","ND",-22.19,-48.79,35,"SP","TRIBF"
"TRF4","Tribunal Regional Federal da 4ª Região","TRF4","Federal","ND",-30.17,-53.5,43,"RS","TRIBF"
"TRF5","Tribunal Regional Federal da 5ª Região","TRF5","Federal","ND",-8.38,-37.86,26,"PE","TRIBF"
"TRT1","Tribunal Regional do Trabalho da 1ª Região","TRT1","Trabalho","Grande",-22.25,-42.66,33,"RJ","TRIBT"
"TRT10","Tribunal Regional do Trabalho da 10ª Região","TRT10","Trabalho","Médio",-15.83,-47.86,53,"DF","TRIBT"
"TRT11","Tribunal Regional do Trabalho da 11ª Região","TRT11","Trabalho","Pequeno",-3.47,-65.1,13,"AM","TRIBT"
"TRT12","Tribunal Regional do Trabalho da 12ª Região","TRT12","Trabalho","Médio",-27.45,-50.95,42,"SC","TRIBT"
"TRT13","Tribunal Regional do Trabalho da 13ª Região","TRT13","Trabalho","Pequeno",-7.28,-36.72,25,"PB","TRIBT"
"TRT14","Tribunal Regional do Trabalho da 14ª Região","TRT14","Trabalho","Pequeno",-10.83,-63.34,11,"RO","TRIBT"
"TRT15","Tribunal Regional do Trabalho da 15ª Região","TRT15","Trabalho","Grande",-22.9,-47.06,35,"SP","TRIBT"
"TRT16","Tribunal Regional do Trabalho da 16ª Região","TRT16","Trabalho","Pequeno",-5.42,-45.44,21,"MA","TRIBT"
"TRT17","Tribunal Regional do Trabalho da 17ª Região","TRT17","Trabalho","Pequeno",-19.19,-40.34,32,"ES","TRIBT"
"TRT18","Tribunal Regional do Trabalho da 18ª Região","TRT18","Trabalho","Médio",-15.98,-49.86,52,"GO","TRIBT"
"TRT19","Tribunal Regional do Trabalho da 19ª Região","TRT19","Trabalho","Pequeno",-9.62,-36.82,27,"AL","TRIBT"
"TRT2","Tribunal Regional do Trabalho da 2ª Região","TRT2","Trabalho","Grande",-22.19,-48.79,35,"SP","TRIBT"
