MOVIMENTO;NATUREZA;GRAU;RELEVANCIA;FASE;
456 - Sem Resolução de Mérito - Extinção ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA 
457 - Extinção - Paralisação por negligência das partes ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA 
458 - Extinção - Abandono da causa ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA 
459 - Extinção - Ausência de pressupostos processuais ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA 
460 - Extinção - Perempção, litispendência ou coisa julgada ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA 
461 - Extinção - Ausência das condições da ação ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA 
462 - Extinção - Convenção de arbitragem ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA 
463 - Extinção - Desistência ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA 
464 - Extinção - Ação intransmissível ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA 
465 - Extinção - Confusão entre autor e réu ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA 
466 - Com Resolução do Mérito - Homologação de Transação ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA 
471 - Com Resolução do Mérito - Pronúncia de Decadência ou Prescrição ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA 
472 - Arquivamento - Sumaríssimo (art. 852- B, § 1o/CLT) ;TRABALHO;;0;;
473 - Arquivamento - Ausência do Reclamante ;TRABALHO;;0;;
478 - Cálculo - Cálculo de Liquidação ;;;0;;
479 - Cálculo - Custas ;;;0;;
48 - Serventuário - Escrivão/Diretor de Secretaria/Secretário Jurídico ;;;0;;
480 - Cálculo - Atualização de conta ;;;0;;
488 - Distribuidor - Cancelamento de Distribuição ;GERAL;;1;;ENCERRA QUALQUER FASE
493 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Entrega em carga/vista ;;;0;;
51 - Escrivão/Diretor de Secretaria/Secretário Jurídico - Conclusão ;;;0;;
56 - Decisão - Requisição de informações ;;;0;;
60 - Escrivão/Diretor de Secretaria/Secretário Jurídico - Expedição de documento ;;;0;;
63 - Decisão - Ordenação de entrega de autos ;;;0;;
67 - Escrivão/Diretor de Secretaria/Secretário Jurídico - Juntada ;;;0;;
7 - Decisão - Conversão ;;;0;;
785 - Não-Concessão - Antecipação de tutela ;;;0;;
787 - Concessão - Assistência Judiciária Gratuita ;;;0;;
788 - Rejeição - Exceção de pré-executividade ;;;0;;
792 - Não-Concessão - Liminar ;;;0;;
804 - Não-Recebimento - Recurso ;;;0;;
817 - Decisão - Concessão ;;;0;;
818 - Concessão - Liberdade provisória ;CRIMINAL;;1;F1 - CONHECIMENTO;
819 - Concessão - Livramento Condicional ;CRIMINAL;;1;F3 - CUMPRIMENTO DE SENTENÇA;
821 - Conversão - Pena / Medida ;CRIMINAL;;1;F3 - CUMPRIMENTO DE SENTENÇA;
823 - Decretação de Internação - Provisória ;;;0;;
83 - Decisão - Cancelamento da distribuição ;GERAL;;1;;ENCERRA QUALQUER FASE
848 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Trânsito em julgado ;GERAL;;1;;ENCERRA QUALQUER FASE
849 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Reativação ;;;0;;
861 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Arquivamento ;GERAL;;1;;ENCERRA QUALQUER FASE
866 - Arquivista - Guarda Intermediária ;;;0;;
867 - Arquivista - Guarda Permanente ;;;0;;
870 - Arquivista - Autos Eliminados ;;;0;;
871 - Com Resolução do Mérito - Acolhimento em parte de Embargos de Declaração ;;;0;;
873 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Deliberação em Sessão ;;;0;;
884 - Com Resolução do Mérito - Transação Penal ;CRIMINAL;1G;1;F1 - CONHECIMENTO;
888 - Decisão - Concessão em parte ;;;0;;
889 - Concessão em parte - Antecipação de Tutela ;;;0;;
892 - Concessão em parte - Liminar ;;;0;;
893 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Desarquivamento ;;;0;;
897 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Retirada de pauta ;;;0;;
898 - Suspensão ou Sobrestamento - Por decisão judicial ;;;0;;
900 - Com Resolução do Mérito - Declaração de competência em conflito ;GERAL;2G;1;F2 - RECURSO;
901 - Com Resolução do Mérito - Negação de seguimento ;GERAL;2G;1;F2 - RECURSO;
92 - Escrivão/Diretor de Secretaria/Secretário Jurídico - Publicação ;;;0;;
928 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Republicação ;;;0;;
940 - Acolhimento de exceção - Impedimento ou Suspeição ;;;0;;
941 - Declaração - Incompetência ;;;0;;
944 - Homologação - Desistência de Recurso ;GERAL;2G;1;F2 - RECURSO;
945 - Revogação - Decisão anterior ;;;0;;
947 - Suspensão ou Sobrestamento - Por pendência de AIREsp ;;;0;;
960 - Suspensão ou Sobrestamento - Conflito de Competência ;;;0;;
961 - Decisão - Suscitação de Conflito de Competência ;;;0;;
968 - Decisão - Não-Concessão ;;;0;;
970 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Audiência ;;;0;;PODE SER UTIL
972 - Com Resolução do Mérito - Provimento (art. 557 do CPC) ;CIVEL;2G;1;F2 - RECURSO;
973 - Com Resolução do Mérito - Extinção da Punibilidade ;CRIMINAL;;1;;ENCERRA QUALQUER FASE
977 - Arquivista - Recebimento ;;;0;;
978 - Arquivista - Remessa ;;;0;;
979 - Contador - Recebimento ;;;0;;
980 - Contador - Remessa ;;;0;;
981 - Distribuidor - Recebimento ;;;0;;
982 - Distribuidor - Remessa ;;;0;;
985 - Recebimento - Mandado ;;;0;;
987 - Recebimento - Ofício ;;;0;;
988 - Concessão - Permissão de saída ;CRIMINAL;;1;F3 - CUMPRIMENTO DE SENTENÇA;
990 - Concessão - Direito de visita ;CRIMINAL;;1;F3 - CUMPRIMENTO DE SENTENÇA;
