MOVIMENTO;NATUREZA;GRAU;RELEVANCIA;FASE;
11378 - Extinção - Incompetência territorial ;CIVEL;;1;F3 - CUMPRIMENTO DE SENTENÇA;
11379 - Extinção - Incompetência em razão da pessoa ;CIVEL;;1;F3 - CUMPRIMENTO DE SENTENÇA;
11380 - Extinção - Autor falecido e sem habilitação de sucessores ;CIVEL;;1;F3 - CUMPRIMENTO DE SENTENÇA;
11381 - Extinção - Ausência de citação de sucessores do réu falecido ;CIVEL;;1;F3 - CUMPRIMENTO DE SENTENÇA;
11382 - Determinação - Bloqueio/penhora on line ;;;0;;NORMALMENTE SE DÁ NA F3, MAS PODE SE DAR TAMBÉM NAS DEMAIS FASES (Raro)
11383 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Ato ordinatório ;;;0;;
11384 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Liquidação iniciada ;;;0;;para as fases escolhidas é irrelevante 
11385 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Execução iniciada ;;;1;F3 - CUMPRIMENTO DE SENTENÇA;
11393 - Decretação de Internação - Sanção ;CIVEL;1G;1;F1 - CONHECIMENTO;
11394 - Sem Resolução de Mérito - Homologada a Remissão ;CIVEL;1G;1;F1 - CONHECIMENTO;
11395 - Concessão - Remissão ao adolescente com suspensão do processo ;CIVEL;1G;1;F1 - CONHECIMENTO;
11396 - Sem Resolução de Mérito - Concessão de remissão a adolescente com exclusão do processo ;CIVEL;1G;1;F1 - CONHECIMENTO;
11401 - Com Resolução do Mérito - Procedência do pedido e procedência do pedido contraposto ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA F1
11402 - Com Resolução do Mérito - Procedência do pedido e procedência em parte do pedido contraposto ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA F1
11403 - Com Resolução do Mérito - Procedência do pedido e improcedência do pedido contraposto ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA F1
11404 - Com Resolução do Mérito - Procedência em parte do pedido e procedência do pedido contraposto ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA F1
11405 - Com Resolução do Mérito - Procedência em parte do pedido e procedência em parte do pedido contraposto ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA F1
11406 - Com Resolução do Mérito - Procedência em parte do pedido e improcedência do pedido contraposto ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA F1
11407 - Com Resolução do Mérito - Improcedência do pedido e procedência do pedido contraposto ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA F1
11408 - Com Resolução do Mérito - Improcedência do pedido e procedência em parte do pedido contraposto ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA F1
11409 - Com Resolução do Mérito - Improcedência do pedido e improcedência do pedido contraposto ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA F1
11411 - Extinção da Punibilidade - Cumprimento da suspensão condicional do processo ;CRIMINAL;1G;1;F1 - CONHECIMENTO;ENCERRA F1
11415 - Concessão - Comutação da pena ;CRIMINAL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
11423 - Concessão - Medida protetiva ;CRIMINAL;1G;1;F1 - CONHECIMENTO;VIOLENCIA DOMESTICA
11424 - Concessão em parte - Medida protetiva ;CRIMINAL;1G;1;F1 - CONHECIMENTO;VIOLENCIA DOMESTICA
11425 - Não-Concessão - Medida protetiva ;CRIMINAL;1G;1;F1 - CONHECIMENTO;VIOLENCIA DOMESTICA
11426 - Revogação - Medida protetiva ;CRIMINAL;1G;1;F1 - CONHECIMENTO;VIOLENCIA DOMESTICA
115 - Oficial de Justiça - Recebimento ;;;0;;
11554 - Concessão - Indulto ;CRIMINAL;1G;;F3 - CUMPRIMENTO DE SENTENÇA;ENCERRA
11792 - Suspensão ou Sobrestamento - Livramento Condicional ;CRIMINAL;1G;;F3 - CUMPRIMENTO DE SENTENÇA;
11795 - Com Resolução do Mérito - Procedência do Pedido - Reconhecimento pelo réu ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA F1
11796 - Com Resolução do Mérito - Declaração de competência em conflito ;;;0;;
118 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Protocolo de Petição ;;;0;;
11801 - Extinção da Punibilidade - Reparação do dano ;CRIMINAL;1G;1;;ENCERRA QUALQUER FASE
11876 - Com Resolução do Mérito - Absolvição Sumária do art. 397-CPP ;CRIMINAL;1G;1;F1 - CONHECIMENTO;ENCERRA
11877 - Com Resolução do Mérito - Absolvição sumária - crimes dolosos contra a vida ;CRIMINAL;1G;1;F1 - CONHECIMENTO;ENCERRA
11878 - Extinção da Punibilidade - Prescrição ;CRIMINAL;1G;1;;ENCERRA QUALQUER FASE
11879 - Extinção da Punibilidade - Decadência ou perempção ;CRIMINAL;1G;1;F1 - CONHECIMENTO;ENCERRA
11975 - Suspensão ou Sobrestamento - Recurso Especial repetitivo ;;;0;;
11983 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Retificação de movimento ;;;0;;
12028 - Extinção da Punibilidade - Cumprimento de transação penal ;CRIMINAL;1G;1;F1 - CONHECIMENTO;ENCERRA
12037 - Determinação - Quebra de sigilo fiscal ;;;0;;
12038 - Determinação - Quebra de sigilo bancário ;;;0;;
12039 - Determinação - Quebra de sigilo telemático ;;;0;;
12040 - Determinação - Indisponibilidade de bens ;;;0;;
12065 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Cumprimento de Suspensão ou Sobrestamento ;;;0;;
12066 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Cumprimento de Levantamento da Suspensão ou Dessobrestamento ;;;0;;
12067 - Decisão - Levantamento da Suspensão ou Dessobrestamento ;;;0;;
12068 - Despacho - Levantamento da Suspensão ou Dessobrestamento ;;;0;;
12098 - Suspensão ou Sobrestamento - Incidente de Resolução de Demandas Repetitivas ;;;0;;
12099 - Suspensão ou Sobrestamento - Por decisão do Presidente do STJ - IRDR ;;;0;;
12100 - Suspensão ou Sobrestamento - Por decisão do Presidente do STF - IRDR ;;;;;
12104 - Pauta - Inclusão em pauta ;;;0;;
12115 - Inclusão em pauta - Para julgamento de mérito ;;;0;;
12116 - Inclusão do processo para julgamento eletrônico - Para julgamento de mérito ;;;0;;
12140 - Conversão - Prisão em Flagrante em Prisão Preventiva ;;;0;;
12141 - Decisão - Relaxamento do Flagrante ;;;0;;
12142 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Mudança de Parte ;;;0;;
12143 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Mudança de Assunto Processual ;;;0;;
12144 - Decisão - Unificação e Soma de Penas ;CRIMINAL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
12146 - Não-Concessão - Liberdade Provisória ;CRIMINAL;;1;F1 - CONHECIMENTO;
12147 - Desacolhimento de Prisão - Domiciliar ;;;0;;
12148 - Concessão - Prisão Domiciliar ;;;0;;
12151 - Declaração - Suspeição ;;;0;;
12164 - Decisão - Outras Decisões ;;;0;;
12167 - Precatório - Enviada ao Tribunal ;;;0;;ENCERRA
12168 - Precatório - Preparada para Envio ;;;0;;
12174 - Pequeno Valor - Enviada ao Tribunal ;;;0;;
12175 - Pequeno Valor - Preparada para Envio ;;;0;;
12176 - Pequeno Valor - Paga ;;;0;;
12184 - Sem Resolução de Mérito - Suspensão Condicional do Processo ;CRIMINAL;1G;1;F1 - CONHECIMENTO;ENCERRA
12185 - Decisão - Decisão Interlocutória de Mérito ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA PARCIALMENTE F1
12186 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Cancelamento de Distribuição ;GERAL;1G;1;;ENCERRA QUALQUER FASE
12187 - Com Resolução do Mérito - Homologação de Decisão de Juiz Leigo ;JUIZADO;1G;1;F1 - CONHECIMENTO;ENCERRA
12189 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Entrega de Documento ;;;0;;
12199 - Deliberado em Sessão - Julgado ;GERAL;2G;1;F2 - RECURSO;ENCERRA F2
12200 - Julgado - Mérito ;;;;;
12203 - Deliberado em Sessão - Adiado ;;;0;;
12204 - Deliberado em Sessão - Pedido de Vista ;;;0;;
12205 - Deliberado em Sessão - Retirado ;;;0;;
12213 - Ratificação - Decisão Monocrática ;;;0;;
12214 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Processo Encaminhado ;;;0;;
12255 - Determinação - Redistribuição por prevenção ;;;0;;
12259 - Suspensão ou Sobrestamento - Prescrição intercorrente (art. 921, § 4o, CPC) ;EXECUTIVOS;;1;F3 - CUMPRIMENTO DE SENTENÇA;
12260 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Autos restaurados ;;;0;;
12261 - Recebimento - Emenda a inicial ;;;0;;
12265 - Eletrônica - Expedida/certificada ;;;0;;
12266 - Eletrônica - Confirmada ;;;0;;
12268 - Intimação - Em Secretaria ;;;0;;
12277 - Cumprimento da pena - Início ;CRIMINAL;;1;F3 - CUMPRIMENTO DE SENTENÇA;INICIA F3
12282 - Comunicação eletrônica - Expedida/ Certificada ;;;0;;
12283 - Comunicação eletrônica - Confirmada ;;;0;;
12287 - Eletrônica - Expedida/Certificada ;;;0;;
12288 - Eletrônica - Confirmada ;;;0;;
12290 - Cancelamento - Documento Expedido ;;;0;;
12291 - Cancelamento - Movimentação processual ;;;0;;
12293 - Ato cumprido pela parte ou interessado - Ato cumprido pela parte ou interessado (sem atributo) ;;;0;;
12294 - Ato cumprido pela parte ou interessado - Comparecimento do Réu/ Apenado ;;;0;;
12295 - Ato cumprido pela parte ou interessado - Depósito de Bens/Dinheiro ;;;0;;
12296 - Distribuidor - Registro ;GERAL;;1;F1 - CONHECIMENTO;INICIA F1
12298 - Extinção - Cancelamento de Dívida Ativa ;EXECUTIVOS;;Q;F3 - CUMPRIMENTO DE SENTENÇA;ENCERRA F3
123 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Remessa ;;;0;;
12300 - Decisão - Nomeação ;;;0;;
12303 - Nomeação - Defensor Dativo ;;;0;;
12307 - Decisão - Decretação de revelia ;;;0;;
12308 - Concessão - Substituição/Sucessão ;;;0;;
12309 - Pauta - Retirada ;;;0;;
12311 - Pauta - Pedido de inclusão ;;;0;;
12313 - Pauta - Pedido de inclusão em pauta virtual ;;;0;;
12315 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Devolvidos os autos ;;;0;;
12318 - Decisão - Reconhecimento de prevenção ;;;0;;
12319 - Sem Resolução de Mérito - Não conhecimento do pedido ;CIVEL;;1;;ENCERRA QUALQUER FASE
12325 - Extinção - Perda do objeto ;GERAL;;1;;ENCERRA QUALQUER FASE
12330 - Com Resolução do Mérito - Pedido conhecido em parte e procedente em parte ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA F1
12332 - Decisão - Prorrogado prazo de conclusão ;;;0;;
12359 - Decisão - Liminar Prejudicada ;;;0;;
12387 - Decisão - Decisão de Saneamento e Organização ;;;0;;PODE SER UTIL SE ADOTARMOS OUTRAS FASES INTERMEDIARIA NO F1
12421 - Determinação - Juízo provisório para medidas urgentes ;;;0;;
12430 - Determinação - Arquivamento ;GERAL;;;;ENCERRA QUALQUER FASE
12431 - Admissão - Embargos ;;;0;;EMBARGOS EM EXEQUATUR
12444 - Decisão - deferimento ;;;0;;
12445 - Admissão - Recurso Ordinário ;;;0;;
12449 - Mero expediente - expedição de alvará de levantamento ;;;0;;
12451 - impugnação à execução - Procedência ;GERAL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
12455 - Decisão - Indeferimento ;;;0;;
12457 - Determinação - Expedição de precatório/rpv ;;;0;;
12458 - Sem Resolução de Mérito - Não conhecimento do habeas corpus ;CRIMINAL;;1;F1 - CONHECIMENTO;
12459 - Sem Resolução de Mérito - Prejudicado ;CRIMINAL;;1;F1 - CONHECIMENTO;
12467 - Homologação - Desistência de pedido ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA F1
12474 - Determinação - Distribuição ;;;0;;
12548 - Despacho - Expedição de alvará de levantamento ;;;0;;
12614 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Remessa para o CEJUSC ;;;0;;PODE SER UTIL SE ADOTARMOS OUTRAS FASES INTERMEDIARIA NO F1
12615 - Com Resolução do Mérito - Composição Civil ;CIVEL;1G;1;F1 - CONHECIMENTO;ENCERRA F1
12616 - Extinção da Punibilidade - Composição Civil dos Danos ;CRIMINAL;1G;1;F1 - CONHECIMENTO;ENCERRA F1
12738 - Com Resolução do Mérito - Homologação de Transação Penal ;CRIMINAL;1G;1;F1 - CONHECIMENTO;ENCERRA F1
12740 - Audiência - de Conciliação ;;;0;;PODE SER UTIL SE ADOTARMOS OUTRAS FASES INTERMEDIARIA NO F1
12749 - Audiência - de Instrução ;;;0;;PODE SER UTIL SE ADOTARMOS OUTRAS FASES INTERMEDIARIA NO F1
12750 - Audiência - de Instrução e Julgamento ;;;0;;PODE SER UTIL SE ADOTARMOS OUTRAS FASES INTERMEDIARIA NO F1
132 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Recebimento ;;;0;;
133 - Decisão - Acolhimento de exceção ;;;0;;
135 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Apensamento ;;;0;;
137 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Desapensamento ;;;0;;
138 - Decisão - Rejeição ;;;0;;
146 - Decisão - Não-Homologação de prisão em flagrante ;;;0;;
151 - Decisão - Concessão de efeito suspensivo ;;;0;;
157 - Decisão - Revogação ;;;0;;
16 - Contador - Cálculo ;;;0;;
160 - Decisão - Recebimento ;;;0;;
163 - Decisão - Não-Recebimento ;;;0;;
172 - Decisão - Deliberação da partilha ;;;0;;
