"classeProcessual","codigoLocalidade","orgaoJulgador_codigoOrgao","assunto_codigoNacional","codigo_ultima_movimentacao","mes_ajuizamento","alvo_processos_demorados","G1","G2","JE","TR","CRIMINAL","CIVIL","JUIZADOS","EXECUTIVOS","OUTROS","PEQUENO","MÉDIO","GRANDE"
40,1302603,4780,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4796,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4792,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4780,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4792,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4780,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4787,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4780,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4787,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4794,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4787,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4794,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4787,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4781,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4780,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4787,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4793,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4787,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4794,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4781,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4799,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4780,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4794,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4787,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
